Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000074192.4	ENSMUSG00000111869	ENSMUSG00000111869.1
ENSMUST00000223764.1	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000065601.12	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000224102.1	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000111936.3	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000224318.1	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000223684.1	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000224478.1	ENSMUSG00000025217	ENSMUSG00000025217.15
ENSMUST00000215879.1	ENSMUSG00000096822	ENSMUSG00000096822.2
ENSMUST00000075474.1	ENSMUSG00000096822	ENSMUSG00000096822.2
ENSMUST00000102572.7	ENSMUSG00000040963	ENSMUSG00000040963.15
ENSMUST00000143772.7	ENSMUSG00000040963	ENSMUSG00000040963.15
ENSMUST00000124721.1	ENSMUSG00000040963	ENSMUSG00000040963.15
ENSMUST00000076850.1	ENSMUSG00000059251	ENSMUSG00000059251.1
ENSMUST00000025542.9	ENSMUSG00000024640	ENSMUSG00000024640.9
ENSMUST00000162053.7	ENSMUSG00000024640	ENSMUSG00000024640.9
ENSMUST00000162416.1	ENSMUSG00000024640	ENSMUSG00000024640.9
ENSMUST00000032182.4	ENSMUSG00000030094	ENSMUSG00000030094.8
ENSMUST00000206476.1	ENSMUSG00000030094	ENSMUSG00000030094.8
ENSMUST00000149807.1	ENSMUSG00000037600	ENSMUSG00000037600.16
ENSMUST00000042919.15	ENSMUSG00000037600	ENSMUSG00000037600.16
ENSMUST00000153811.1	ENSMUSG00000037600	ENSMUSG00000037600.16
ENSMUST00000105901.1	ENSMUSG00000037600	ENSMUSG00000037600.16
ENSMUST00000121797.1	ENSMUSG00000037600	ENSMUSG00000037600.16
ENSMUST00000207969.3	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000214638.2	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000215407.2	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000214613.2	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000214551.2	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000073507.2	ENSMUSG00000060049	ENSMUSG00000060049.5
ENSMUST00000164632.1	ENSMUSG00000021872	ENSMUSG00000021872.8
ENSMUST00000022424.7	ENSMUSG00000021872	ENSMUSG00000021872.8
